Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C18, C2, C3",0805,4,47uf,C16780
"C11, C12, C13, C14, C15, C16, C17, C4, C6, C7, C8, C9",0603,12,100nF,C14663
"C19, C20",0603,2,30pf,C1658
"C21, C5",CP_EIA-3528-15_AVX-H,2,100uf,C16133
D1,0805,1,GRN,C2297
D2,0805,1,RED,C84256
D3,D_SOD-323_HandSoldering,1,D_Schottky,C191023
D4,D_SOD-323_HandSoldering,1,Zener 6.2V,C241957
J2,PinSocket_1x01_P2.54mm_Horizontal,1,RESET_OUT,C6235395
J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,SERIAL,C51940130
J4,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,REM_SW,C160402
"Q1, Q2",SOT-23,2,MMBT3904,C20526
"R1, R10, R12, R2, R4, R5, R6, R7, R8",0603,9,4K7,C23162
"R11, R13, R18, R3, R9",0603,5,1K,C21190
R14,0603,1,47K,C25819
"R15, R16, R17",0603,3,150,C22808
SW2,SW_SPDT_PCM12,1,BANKSEL,C221841
"U1, U10, U11, U2, U7, U8, U9",TSSOP-20_4.4x6.5mm_P0.65mm,7,74LS541,C113281
U12,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U13,RPi_Pico_SMD,1,Pico,N/A
"U14, U6",TSOP-I-56_18.4x14mm_P0.5mm_HandSolder,2,~,C914937
"U3, U4, U5",TSSOP-20_4.4x6.5mm_P0.65mm,3,74LS573,C113280
