Designator,Mid X,Mid Y,Rotation,Layer
C10,179.6,-98.6,90.0,top
C11,132.6,-98.625,90.0,top
C12,121.2,-98.625,90.0,top
C13,142.6,-100.425,90.0,top
C14,132.6,-102.025,270.0,top
C15,111.4,-86.099,270.0,top
C16,169.6,-100.175,270.0,top
C17,160.4,-102.0,90.0,top
C18,137.9,-86.2,90.0,top
C19,135.4,-102.025,90.0,top
C2,96.0,-92.6,180.0,top
C20,109.0,-102.025,90.0,top
C21,182.7,-84.5,270.0,top
C3,101.4,-92.6,180.0,top
C4,151.0,-86.0,270.0,top
C5,92.9,-87.1,270.0,top
C6,151.6,-100.425,90.0,top
C7,106.8,-95.4,0.0,top
C8,121.2,-102.0,270.0,top
C9,99.2,-83.6,0.0,top
D1,92.5,-81.5,0.0,top
D2,96.5,-81.5,0.0,top
D3,96.25,-97.5,270.0,top
D4,97.0,-102.25,90.0,top
H1,138.545,-106.0,0.0,top
J1,179.2,-91.7,90.0,top
J2,101.5,-81.5,180.0,bottom
J3,128.9,-83.875,180.0,bottom
J4,121.5,-83.875,180.0,bottom
Q1,99.25,-98.5,0.0,top
Q2,106.0,-85.8,270.0,top
R1,179.425,-103.0,180.0,top
R10,147.4,-86.025,90.0,top
R11,105.0,-82.5,0.0,top
R12,145.6,-86.025,90.0,top
R13,98.75,-102.25,90.0,top
R14,109.7,-86.1,90.0,top
R15,99.5,-96.0,0.0,top
R16,135.4,-98.575,270.0,top
R17,109.0,-98.825,270.0,top
R18,160.4,-98.6,90.0,top
R2,138.2,-98.575,90.0,top
R3,106.0,-88.5,180.0,top
R4,105.0,-80.9,180.0,top
R5,111.8,-98.825,90.0,top
R6,180.0,-85.5,90.0,top
R7,178.5,-85.5,90.0,top
R8,149.2,-85.975,90.0,top
R9,100.25,-102.25,270.0,top
SW2,109.75,-81.875,180.0,bottom
U1,116.925,-100.2635,180.0,top
U10,146.925,-100.2385,0.0,top
U11,155.925,-100.2385,0.0,top
U12,99.0,-88.0,180.0,top
U13,160.9466,-92.1098,90.0,bottom
U14,124.9125,-87.25,0.0,top
U2,128.325,-100.2635,180.0,top
U3,104.75,-98.25,0.0,bottom
U4,116.925,-98.2625,0.0,bottom
U5,128.325,-98.25,0.0,bottom
U6,165.0,-87.25,0.0,top
U7,164.925,-100.2385,180.0,top
U8,173.925,-100.2385,180.0,top
U9,104.725,-100.2635,0.0,top
